layer_idx,layer_name,n_samples,n_right,n_wrong,n_folds,cv_bal_acc_mean,cv_bal_acc_std,cv_acc_mean,cv_acc_std,cv_auc_mean,cv_auc_std,cv_bal_acc_folds,cv_auc_folds
0,layer_00,975,516,459,5,0.5,0.0,0.4707692307692308,0.002051282051282044,0.5,0.0,"[0.5, 0.5, 0.5, 0.5, 0.5]","[0.5, 0.5, 0.5, 0.5, 0.5]"
1,layer_01,975,516,459,5,0.8603147222132026,0.02183284309773091,0.8615384615384617,0.01972859903761161,0.9084871528445577,0.025053788626632784,"[0.851, 0.8868, 0.8253, 0.8591, 0.8794]","[0.9268, 0.9354, 0.8648, 0.8985, 0.9169]"
2,layer_02,975,516,459,5,0.8517444880994901,0.017331596781032365,0.8533333333333333,0.017345163615679737,0.903711373699522,0.025696836408725547,"[0.8462, 0.8857, 0.8476, 0.8373, 0.842]","[0.9037, 0.9483, 0.8779, 0.879, 0.9097]"
3,layer_03,975,516,459,5,0.8592184303665942,0.032942413590033,0.8605128205128205,0.033297811447688085,0.9188673739806967,0.027032592288446573,"[0.8558, 0.9208, 0.8391, 0.8245, 0.856]","[0.9113, 0.965, 0.8927, 0.8938, 0.9315]"
4,layer_04,975,516,459,5,0.8616174349078527,0.027959270408996553,0.8635897435897437,0.028013333915379805,0.9208099511619334,0.028473097534782336,"[0.8695, 0.9051, 0.8342, 0.8282, 0.8711]","[0.9146, 0.9613, 0.8901, 0.8923, 0.9458]"
5,layer_05,975,516,459,5,0.8721294165943807,0.02297155061733201,0.8738461538461539,0.022842110206482143,0.9258116068105677,0.026985729311880917,"[0.8743, 0.9111, 0.8439, 0.8548, 0.8765]","[0.9128, 0.9626, 0.9067, 0.8939, 0.9529]"
6,layer_06,975,516,459,5,0.8760155209923045,0.018128648665691235,0.877948717948718,0.018461538461538456,0.9250107849094764,0.024181731744844656,"[0.8846, 0.9051, 0.8602, 0.8542, 0.8759]","[0.9176, 0.9623, 0.9063, 0.8964, 0.9425]"
7,layer_07,975,516,459,5,0.876953170299519,0.015437575886158496,0.878974358974359,0.015418765516279917,0.9174549344216845,0.015677398511193475,"[0.8784, 0.8954, 0.8754, 0.8494, 0.8862]","[0.9179, 0.9374, 0.905, 0.8955, 0.9314]"
8,layer_08,975,516,459,5,0.8614752016662106,0.022345478689043116,0.8625641025641027,0.02279601104706961,0.9232368680123333,0.017019042800896,"[0.8496, 0.8845, 0.8462, 0.8354, 0.8917]","[0.9136, 0.9403, 0.9034, 0.9122, 0.9467]"
9,layer_09,975,516,459,5,0.8672817737349187,0.019406644067966456,0.8687179487179488,0.019351756168321233,0.921293487984237,0.01516206344652712,"[0.8592, 0.8711, 0.8796, 0.8348, 0.8917]","[0.9071, 0.937, 0.9091, 0.9108, 0.9424]"
10,layer_10,975,516,459,5,0.8692261305600267,0.021423993957577513,0.8707692307692309,0.021366837595897078,0.9195421221633191,0.012272013848330677,"[0.8695, 0.8657, 0.8742, 0.8348, 0.902]","[0.9088, 0.9274, 0.9079, 0.9139, 0.9397]"
11,layer_11,975,516,459,5,0.8741846376502348,0.012693980980175774,0.875897435897436,0.012727870406144487,0.9308582575654043,0.010972866053228147,"[0.864, 0.8905, 0.8796, 0.8554, 0.8814]","[0.922, 0.9416, 0.92, 0.9241, 0.9465]"
12,layer_12,975,516,459,5,0.8688539931997088,0.020008176406723727,0.8707692307692309,0.020098377376682512,0.9292485585330666,0.01737501366692852,"[0.8585, 0.8899, 0.8505, 0.8494, 0.8959]","[0.8997, 0.9452, 0.9305, 0.9231, 0.9478]"
13,layer_13,975,516,459,5,0.8821744580872906,0.015273935015402888,0.8841025641025642,0.015418765516279893,0.9352254501027109,0.01214020825677563,"[0.8688, 0.9099, 0.8868, 0.8699, 0.8754]","[0.9152, 0.951, 0.9377, 0.9299, 0.9423]"
14,layer_14,975,516,459,5,0.8877159881064483,0.015478514374061886,0.8892307692307693,0.015073783032511855,0.9355000683311883,0.011665243175145017,"[0.8736, 0.9165, 0.8862, 0.8748, 0.8874]","[0.9161, 0.9509, 0.9398, 0.9305, 0.9402]"
15,layer_15,975,516,459,5,0.8856887730252019,0.011195013383076532,0.8871794871794872,0.010757013827386185,0.9339575943425344,0.013072626744617904,"[0.8695, 0.8905, 0.8965, 0.8754, 0.8965]","[0.9092, 0.9466, 0.9379, 0.9338, 0.9422]"
16,layer_16,975,516,459,5,0.8971835730752996,0.009217201267698961,0.8984615384615384,0.00882289770978732,0.9411168474023622,0.010498112603091142,"[0.8798, 0.9014, 0.902, 0.9062, 0.8965]","[0.9264, 0.9566, 0.9487, 0.937, 0.9369]"
17,layer_17,975,516,459,5,0.900034616080416,0.01486586688535984,0.9015384615384615,0.015003834705977232,0.9460787532109414,0.008764270145633503,"[0.8867, 0.9262, 0.9068, 0.8894, 0.8911]","[0.9343, 0.9592, 0.9522, 0.9445, 0.9403]"
18,layer_18,975,516,459,5,0.8983037540762318,0.012807636064404425,0.8994871794871795,0.011960926963785236,0.9487810911366777,0.006836400320519143,"[0.886, 0.8954, 0.9188, 0.8851, 0.9062]","[0.9373, 0.9518, 0.9557, 0.9543, 0.9448]"
19,layer_19,975,516,459,5,0.9069400892480249,0.003710753590312519,0.9087179487179486,0.003837597319768131,0.950552733301053,0.009399169301190731,"[0.9018, 0.9099, 0.9123, 0.9051, 0.9057]","[0.9324, 0.9563, 0.9563, 0.9573, 0.9505]"
20,layer_20,975,516,459,5,0.9000040008535155,0.006865778405676279,0.9015384615384615,0.006803332903293104,0.9492234062330176,0.008234925953910479,"[0.8908, 0.8954, 0.9025, 0.9002, 0.9111]","[0.9337, 0.9499, 0.9583, 0.9519, 0.9523]"
21,layer_21,975,516,459,5,0.9043424916156028,0.007087092175915704,0.9056410256410257,0.006956235880128456,0.9513984967852227,0.006715026090881934,"[0.8956, 0.9068, 0.9025, 0.9002, 0.9165]","[0.9384, 0.9579, 0.9538, 0.9533, 0.9537]"
22,layer_22,975,516,459,5,0.9010909573752546,0.018799426218815668,0.9025641025641026,0.019187986598840752,0.9530038872060821,0.005724313942000146,"[0.8908, 0.9257, 0.882, 0.8851, 0.922]","[0.9437, 0.9589, 0.9505, 0.9529, 0.9589]"
23,layer_23,975,516,459,5,0.9032555350938635,0.015634717214634705,0.9046153846153846,0.015756196405884326,0.95114479717769,0.008110310714412929,"[0.8956, 0.9262, 0.8917, 0.8857, 0.9171]","[0.9367, 0.9617, 0.9518, 0.9541, 0.9515]"
24,layer_24,975,516,459,5,0.9096638007412595,0.011404508957087792,0.9107692307692309,0.011512791959304443,0.9488211353539147,0.01150698040502735,"[0.9059, 0.9057, 0.8923, 0.922, 0.9225]","[0.9288, 0.9646, 0.9486, 0.9507, 0.9514]"
25,layer_25,975,516,459,5,0.8932265549983995,0.015012873104276401,0.8943589743589744,0.01507378303251189,0.9470880655208674,0.016453447209261004,"[0.8812, 0.8911, 0.8928, 0.8796, 0.9214]","[0.9194, 0.9691, 0.9423, 0.9489, 0.9558]"
26,layer_26,975,516,459,5,0.8986942141859828,0.014899272340995001,0.9005128205128206,0.014720718045545983,0.9526635961045157,0.011948638466964872,"[0.886, 0.8985, 0.8911, 0.8905, 0.9274]","[0.9334, 0.9656, 0.9461, 0.9541, 0.9641]"
27,layer_27,975,516,459,5,0.9035157065391342,0.015130619635036563,0.9046153846153846,0.015418765516279917,0.9528962432832939,0.010552406178157513,"[0.8812, 0.9111, 0.8971, 0.9014, 0.9268]","[0.9353, 0.9648, 0.9469, 0.9574, 0.9601]"
28,layer_28,975,516,459,5,0.9012163754354552,0.012446082506146193,0.9025641025641026,0.012973446810947177,0.9492646279589814,0.012517856788720465,"[0.886, 0.9154, 0.8923, 0.8959, 0.9165]","[0.9298, 0.9653, 0.9407, 0.9538, 0.9567]"
